Question_ID,Question_Text,Clean_Text,Predicted_Subject
2007_1_Q13,"STATEMENT-1 If the accelerating potential in an X-ray tube is increased, the wavelengths of the characteristic X-rays do not change. because STATEMENT-2 When an electron beam strikes the target in an X-ray tube, part of the kinetic energy is converted into X-ray energy. (A) Statement-1 is True, Statement-2 is True; Statement-2 is a correct explanation for Statement-1 (B) Statement-1 is True, Statement-2 is True; Statement-2 is NOT a correct explanation for Statement-1 (C) Statement-1 is True, Statement-2 is False (D) Statement-1 is False, Statement-2 is True",STATEMENT If the accelerating potential in an X ray tube is increased the wavelengths of the characteristic X rays do not change because STATEMENT When an electron beam strikes the target in an X ray tube part of the kinetic energy is converted into X ray energy Statement is True Statement is True Statement is a correct explanation for Statement Statement is True Statement is True Statement is NOT a correct explanation for Statement Statement is True Statement is False Statement is False Statement is True,physics
2007_1_Q14,The ratio x₁/x₂ is (A) 2 (B) 1/2 (C) √2 (D) 1/√2,The ratio x x is,physics
2007_1_Q15,"When disc B is brought in contact with disc A, they acquire a common angular velocity in time t. The average frictional torque on one disc by the other during this period is (A) 2Iω/3t (B) 9Iω/2t (C) 9Iω/4t (D) 3Iω/2t",When disc B is brought in contact with disc A they acquire a common angular velocity in time t The average frictional torque on one disc by the other during this period is 2I 3t 9I 2t 9I 4t 3I 2t,physics
2007_1_Q16,The loss of kinetic energy during the above process is (A) Iω²/2 (B) Iω²/3 (C) Iω²/4 (D) Iω²/6,The loss of kinetic energy during the above process is I I I I,physics
2007_1_Q17,The piston is now pulled out slowly and held at a distance 2L from the top. The pressure in the cylinder between its top and the piston will then be (A) P₀ (B) P₀/2 (C) P₀ + Mg/(πR²) (D) P₀/2 - Mg/(πR²),The piston is now pulled out slowly and held at a distance 2L from the top The pressure in the cylinder between its top and the piston will then be P P P Mg R P Mg R,physics
2007_1_Q18,"While the piston is at a distance 2L from the top, the hole at the top is sealed. The piston is then released, to a position where it can stay in equilibrium. In this condition, the distance of the piston from the top is (A) (2P₀πR²)/(πR²P₀ + Mg) (2L) (B) (P₀πR² - Mg)/(πR²P₀) (2L) (C) (P₀πR² + Mg)/(πR²P₀) (2L) (D) (P₀πR²)/(πP₀ - Mg) (2L)",While the piston is at a distance 2L from the top the hole at the top is sealed The piston is then released to a position where it can stay in equilibrium In this condition the distance of the piston from the top is 2P R R P Mg 2L P R Mg R P 2L P R Mg R P 2L P R P Mg 2L,physics
2007_1_Q19,"The piston is taken completely out of the cylinder. The hole at the top is sealed. A water tank is brought below the cylinder and put in a position so that the water surface in the tank is at the same level as the top of the cylinder as shown in the figure. The density of the water is ρ. In equilibrium, the height H of the water column in the cylinder satisfies (A) ρg(L₀-H)² + P₀(L₀-H) + L₀P₀ = 0 (B) ρg(L₀-H)² - P₀(L₀-H) - L₀P₀ = 0 (C) ρg(L₀-H)² + P₀(L₀-H) - L₀P₀ = 0 (D) ρg(L₀-H)² - P₀(L₀-H) + L₀P₀ = 0",The piston is taken completely out of the cylinder The hole at the top is sealed A water tank is brought below the cylinder and put in a position so that the water surface in the tank is at the same level as the top of the cylinder as shown in the figure The density of the water is In equilibrium the height H of the water column in the cylinder satisfies g L H P L H L P g L H P L H L P g L H P L H L P g L H P L H L P,physics
2007_1_Q20,"Some physical quantities are given in Column I and some possible SI units in which these quantities may be expressed are given in Column II. Match the physical quantities in Column I with the units in Column II and indicate your answer by darkening appropriate bubbles in the 4 x 4 matrix given in the ORS. Column I (A) GMsMe (G - universal gravitational constant, Me - mass of the earth, Ms - mass of the Sun) (B) 3RT/M (R - universal gas constant, T - absolute temperature, M - molar mass) (C) F²/(q²B²) (F - force, q - charge, B - magnetic field) (D) GMe/Re (G - universal gravitational constant, Me - mass of the earth, Re - radius of the earth) Column II (p) (volt) (coulomb) (metre) (q) (kilogram) (metre)³ (second)⁻² (r) (metre)² (second)⁻² (s) (farad) (volt)² (kg)⁻¹",Some physical quantities are given in Column I and some possible SI units in which these quantities may be expressed are given in Column II Match the physical quantities in Column I with the units in Column II and indicate your answer by darkening appropriate bubbles in the x matrix given in the ORS Column I GMsMe G universal gravitational constant Me mass of the earth Ms mass of the Sun 3RT M R universal gas constant T absolute temperature M molar mass F q B F force q charge B magnetic field GMe Re G universal gravitational constant Me mass of the earth Re radius of the earth Column II p volt coulomb metre q kilogram metre second r metre second s farad volt kg,physics
2007_1_Q21,Column I gives certain situations in which a straight metallic wire of resistance R is used and Column II gives some resulting effects. Match the statements in Column I with the statements in Column II and indicate your answer by darkening appropriate bubbles in the 4 x 4 matrix given in the ORS. Column I (A) A charged capacitor is connected to the ends of the wire (B) The wire is moved perpendicular to its length with a constant velocity in a uniform magnetic field perpendicular to the plane of motion (C) The wire is placed in a constant electric field that has a direction along the length of the wire (D) A battery of constant emf is connected to the ends of the wire Column II (p) A constant current flows through the wire (q) Thermal energy is generated in the wire (r) A constant potential difference develops between the ends of the wire (s) Charges of constant magnitude appear at the ends of the wire,Column I gives certain situations in which a straight metallic wire of resistance R is used and Column II gives some resulting effects Match the statements in Column I with the statements in Column II and indicate your answer by darkening appropriate bubbles in the x matrix given in the ORS Column I A charged capacitor is connected to the ends of the wire The wire is moved perpendicular to its length with a constant velocity in a uniform magnetic field perpendicular to the plane of motion The wire is placed in a constant electric field that has a direction along the length of the wire A battery of constant emf is connected to the ends of the wire Column II p A constant current flows through the wire q Thermal energy is generated in the wire r A constant potential difference develops between the ends of the wire s Charges of constant magnitude appear at the ends of the wire,physics
2007_1_Q22,Some laws / processes are given in Column I. Match these with the physical phenomena given in Column II and indicate your answer by darkening appropriate bubbles in the 4x4 matrix given in the ORS. Column I (A) Transition between two atomic energy levels (B) Electron emission from a material (C) Mosley's law (D) Change of photon energy into kinetic energy of electrons Column II (p) Characteristic X-rays (q) Photoelectric effect (r) Hydrogen spectrum (s) β-decay,Some laws processes are given in Column I Match these with the physical phenomena given in Column II and indicate your answer by darkening appropriate bubbles in the 4x4 matrix given in the ORS Column I Transition between two atomic energy levels Electron emission from a material Mosley s law Change of photon energy into kinetic energy of electrons Column II p Characteristic X rays q Photoelectric effect r Hydrogen spectrum s decay,chemistry
2007_1_Q23,The species having bond order different from that in CO is (A) NO⁻ (C) CN⁻ (B) NO⁺ (D) N₂,The species having bond order different from that in CO is NO CN NO N,chemistry
2007_1_Q24,"Among the following, the paramagnetic compound is (A) Na₂O₂ (C) N₂O (B) O₃ (D) KO₂",Among the following the paramagnetic compound is Na O N O O KO,chemistry
2007_1_Q25,Extraction of zinc from zinc blende is achieved by (A) electrolytic reduction (B) roasting followed by reduction with carbon (C) roasting followed by reduction with another metal (D) roasting followed by self-reduction,Extraction of zinc from zinc blende is achieved by electrolytic reduction roasting followed by reduction with carbon roasting followed by reduction with another metal roasting followed by self reduction,chemistry
2007_1_Q26,"In the following reaction, [Initial molecule: N-phenylbenzamide. Reagents: conc. HNO₃, conc. H₂SO₄. Product: X] the structure of the major product 'X' is (A) N-(3-nitrophenyl)benzamide (B) N-(4-nitrophenyl)benzamide (C) 4-nitro-N-phenylbenzamide (D) 3-nitro-N-phenylbenzamide",In the following reaction Initial molecule N phenylbenzamide Reagents conc HNO conc H SO Product X the structure of the major product X is N nitrophenyl benzamide N nitrophenyl benzamide nitro N phenylbenzamide nitro N phenylbenzamide,chemistry
2007_1_Q27,"The reagent(s) for the following conversion, [Input: 1,2-dibromopropane; Output: Propyne (CH≡C-CH₃)] is/are (A) alcoholic KOH (B) alcoholic KOH followed by NaNH₂ (C) aqueous KOH followed by NaNH₂ (D) Zn/CH₃OH",The reagent s for the following conversion Input dibromopropane Output Propyne CH C CH is are alcoholic KOH alcoholic KOH followed by NaNH aqueous KOH followed by NaNH Zn CH OH,chemistry
2007_1_Q28,The number of structural isomers for C₆H₁₄ is (A) 3 (B) 4 (C) 5 (D) 6,The number of structural isomers for C H is,mathematics
2007_1_Q29,The percentage of p-character in the orbitals forming P-P bonds in P₄ is (A) 25 (B) 33 (C) 50 (D) 75,The percentage of p character in the orbitals forming P P bonds in P is,chemistry
2007_1_Q30,"When 20 g of naphthoic acid (C₁₁H₈O₂) is dissolved in 50 g of benzene (K_f = 1.72 K kg mol⁻¹), a freezing point depression of 2 K is observed. The van't Hoff factor (i) is (A) 0.5 (B) 1 (C) 2 (D) 3",When g of naphthoic acid C H O is dissolved in g of benzene K_f K kg mol a freezing point depression of K is observed The van t Hoff factor i is,chemistry
2007_1_Q31,"The value of log₁₀K for a reaction A ⇌ B is (Given: ΔᵣH₂₉₈K = -54.07 kJ mol⁻¹, ΔᵣS₂₉₈K = 10 J K⁻¹ mol⁻¹ and R = 8.314 J K⁻¹ mol⁻¹; 2.303×8.314×298=5705) (A) 5 (B) 10 (C) 95 (D) 100",The value of log K for a reaction A B is Given H K kJ mol S K J K mol and R J K mol,chemistry
2007_1_Q32,"STATEMENT-1: Boron always forms covalent bond. because STATEMENT-2: The small size of B³⁺ favours formation of covalent bond. (A) Statement-1 is True, Statement-2 is True; Statement-2 is a correct explanation for Statement-1 (B) Statement-1 is True, Statement-2 is True; Statement-2 is NOT a correct explanation for Statement-1 (C) Statement-1 is True, Statement-2 is False (D) Statement-1 is False, Statement-2 is True",STATEMENT Boron always forms covalent bond because STATEMENT The small size of B favours formation of covalent bond Statement is True Statement is True Statement is a correct explanation for Statement Statement is True Statement is True Statement is NOT a correct explanation for Statement Statement is True Statement is False Statement is False Statement is True,chemistry
2007_1_Q33,"STATEMENT-1: In water, orthoboric acid behaves as a weak monobasic acid. because STATEMENT-2: In water, orthoboric acid acts as a proton donor. (A) Statement-1 is True, Statement-2 is True; Statement-2 is a correct explanation for Statement-1 (B) Statement-1 is True, Statement-2 is True; Statement-2 is NOT a correct explanation for Statement-1 (C) Statement-1 is True, Statement-2 is False (D) Statement-1 is False, Statement-2 is True",STATEMENT In water orthoboric acid behaves as a weak monobasic acid because STATEMENT In water orthoboric acid acts as a proton donor Statement is True Statement is True Statement is a correct explanation for Statement Statement is True Statement is True Statement is NOT a correct explanation for Statement Statement is True Statement is False Statement is False Statement is True,chemistry
2007_1_Q34,"STATEMENT-1: p-Hydroxybenzoic acid has a lower boiling point than o-hydroxybenzoic acid. because STATEMENT-2: o-Hydroxybenzoic acid has intramolecular hydrogen bonding. (A) Statement-1 is True, Statement-2 is True; Statement-2 is a correct explanation for Statement-1 (B) Statement-1 is True, Statement-2 is True; Statement-2 is NOT a correct explanation for Statement-1 (C) Statement-1 is True, Statement-2 is False (D) Statement-1 is False, Statement-2 is True",STATEMENT p Hydroxybenzoic acid has a lower boiling point than o hydroxybenzoic acid because STATEMENT o Hydroxybenzoic acid has intramolecular hydrogen bonding Statement is True Statement is True Statement is a correct explanation for Statement Statement is True Statement is True Statement is NOT a correct explanation for Statement Statement is True Statement is False Statement is False Statement is True,chemistry
2007_1_Q35,"STATEMENT-1: Micelles are formed by surfactant molecules above the critical micellar concentration (CMC). because STATEMENT-2: The conductivity of a solution having surfactant molecules decreases sharply at the CMC. (A) Statement-1 is True, Statement-2 is True; Statement-2 is a correct explanation for Statement-1 (B) Statement-1 is True, Statement-2 is True; Statement-2 is NOT a correct explanation for Statement-1 (C) Statement-1 is True, Statement-2 is False (D) Statement-1 is False, Statement-2 is True",STATEMENT Micelles are formed by surfactant molecules above the critical micellar concentration CMC because STATEMENT The conductivity of a solution having surfactant molecules decreases sharply at the CMC Statement is True Statement is True Statement is a correct explanation for Statement Statement is True Statement is True Statement is NOT a correct explanation for Statement Statement is True Statement is False Statement is False Statement is True,chemistry
2007_1_Q36,Argon is used in arc welding because of its (A) low reactivity with metal (B) ability to lower the melting point of metal (C) flammability (D) high calorific value,Argon is used in arc welding because of its low reactivity with metal ability to lower the melting point of metal flammability high calorific value,chemistry
2007_1_Q37,The structure of XeO₃ is (A) linear (B) planar (C) pyramidal (D) T-shaped,The structure of XeO is linear planar pyramidal T shaped,chemistry
2007_1_Q38,XeF₄ and XeF₆ are expected to be (A) oxidizing (B) reducing (C) unreactive (D) strongly basic,XeF and XeF are expected to be oxidizing reducing unreactive strongly basic,chemistry
2007_1_Q39,"Chemical reactions involve interaction of atoms and molecules. A large number of atoms/molecules (approximately 6.023 × 10²³) are present in a few grams of any chemical compound varying with their atomic/molecular masses. To handle such large numbers conveniently, the mole concept was introduced. This concept has implications in diverse areas such as analytical chemistry, biochemistry, electrochemistry and radiochemistry. The following example illustrates a typical case, involving chemical/electrochemical reaction, which requires a clear understanding of the mole concept. A 4.0 molar aqueous solution of NaCl is prepared and 500 mL of this solution is electrolysed. This leads to the evolution of chlorine gas at one of the electrodes (atomic mass: Na = 23, Hg = 200; 1 Faraday = 96500 coulombs). The total number of moles of chlorine gas evolved is (A) 0.5 (B) 1.0 (C) 2.0 (D) 3.0",Chemical reactions involve interaction of atoms and molecules A large number of atoms molecules approximately are present in a few grams of any chemical compound varying with their atomic molecular masses To handle such large numbers conveniently the mole concept was introduced This concept has implications in diverse areas such as analytical chemistry biochemistry electrochemistry and radiochemistry The following example illustrates a typical case involving chemical electrochemical reaction which requires a clear understanding of the mole concept A molar aqueous solution of NaCl is prepared and mL of this solution is electrolysed This leads to the evolution of chlorine gas at one of the electrodes atomic mass Na Hg Faraday coulombs The total number of moles of chlorine gas evolved is,chemistry
2007_1_Q40,"Chemical reactions involve interaction of atoms and molecules. A large number of atoms/molecules (approximately 6.023 × 10²³) are present in a few grams of any chemical compound varying with their atomic/molecular masses. To handle such large numbers conveniently, the mole concept was introduced. This concept has implications in diverse areas such as analytical chemistry, biochemistry, electrochemistry and radiochemistry. The following example illustrates a typical case, involving chemical/electrochemical reaction, which requires a clear understanding of the mole concept. A 4.0 molar aqueous solution of NaCl is prepared and 500 mL of this solution is electrolysed. This leads to the evolution of chlorine gas at one of the electrodes (atomic mass: Na = 23, Hg = 200; 1 Faraday = 96500 coulombs). If the cathode is a Hg electrode, the maximum weight (g) of amalgam formed from this solution is (A) 200 (B) 225 (C) 400 (D) 446",Chemical reactions involve interaction of atoms and molecules A large number of atoms molecules approximately are present in a few grams of any chemical compound varying with their atomic molecular masses To handle such large numbers conveniently the mole concept was introduced This concept has implications in diverse areas such as analytical chemistry biochemistry electrochemistry and radiochemistry The following example illustrates a typical case involving chemical electrochemical reaction which requires a clear understanding of the mole concept A molar aqueous solution of NaCl is prepared and mL of this solution is electrolysed This leads to the evolution of chlorine gas at one of the electrodes atomic mass Na Hg Faraday coulombs If the cathode is a Hg electrode the maximum weight g of amalgam formed from this solution is,chemistry
2007_1_Q41,"Chemical reactions involve interaction of atoms and molecules. A large number of atoms/molecules (approximately 6.023 × 10²³) are present in a few grams of any chemical compound varying with their atomic/molecular masses. To handle such large numbers conveniently, the mole concept was introduced. This concept has implications in diverse areas such as analytical chemistry, biochemistry, electrochemistry and radiochemistry. The following example illustrates a typical case, involving chemical/electrochemical reaction, which requires a clear understanding of the mole concept. A 4.0 molar aqueous solution of NaCl is prepared and 500 mL of this solution is electrolysed. This leads to the evolution of chlorine gas at one of the electrodes (atomic mass: Na = 23, Hg = 200; 1 Faraday = 96500 coulombs). The total charge (coulombs) required for complete electrolysis is (A) 24125 (B) 48250 (C) 96500 (D) 193000",Chemical reactions involve interaction of atoms and molecules A large number of atoms molecules approximately are present in a few grams of any chemical compound varying with their atomic molecular masses To handle such large numbers conveniently the mole concept was introduced This concept has implications in diverse areas such as analytical chemistry biochemistry electrochemistry and radiochemistry The following example illustrates a typical case involving chemical electrochemical reaction which requires a clear understanding of the mole concept A molar aqueous solution of NaCl is prepared and mL of this solution is electrolysed This leads to the evolution of chlorine gas at one of the electrodes atomic mass Na Hg Faraday coulombs The total charge coulombs required for complete electrolysis is,chemistry
2007_1_Q42,Match the complexes in Column I with their properties listed in Column II. Indicate your answer by darkening the appropriate bubbles of the 4 x 4 matrix given in the ORS. Column I (A) [Co(NH₃)₄(H₂O)₂]Cl₂ (B) [Pt(NH₃)₂Cl₂] (C) [Co(H₂O)₅Cl]Cl (D) [Ni(H₂O)₆]Cl₂ Column II (p) geometrical isomers (q) paramagnetic (r) diamagnetic (s) metal ion with +2 oxidation state,Match the complexes in Column I with their properties listed in Column II Indicate your answer by darkening the appropriate bubbles of the x matrix given in the ORS Column I Co NH H O Cl Pt NH Cl Co H O Cl Cl Ni H O Cl Column II p geometrical isomers q paramagnetic r diamagnetic s metal ion with oxidation state,chemistry
2007_1_Q43,"Match the chemical substances in Column I with type of polymers/type of bonds in Column II. Indicate your answer by darkening the appropriate bubbles of the 4 x 4 matrix given in the ORS. Column I (A) cellulose (B) nylon-6, 6 (C) protein (D) sucrose Column II (p) natural polymer (q) synthetic polymer (r) amide linkage (s) glycoside linkage",Match the chemical substances in Column I with type of polymers type of bonds in Column II Indicate your answer by darkening the appropriate bubbles of the x matrix given in the ORS Column I cellulose nylon protein sucrose Column II p natural polymer q synthetic polymer r amide linkage s glycoside linkage,chemistry
2007_1_Q44,"Match gases under specified conditions listed in Column I with their properties/laws in Column II. Indicate your answer by darkening appropriate bubbles of the 4 x 4 matrix given in the ORS. Column I (A) hydrogen gas (P = 200 atm, T = 273 K) (B) hydrogen gas (P ~ 0, T = 273 K) (C) CO₂ (P = 1 atm, T = 273 K) (D) real gas with very large molar volume Column II (p) compressibility factor ≠ 1 (q) attractive forces are dominant (r) PV=nRT (s) P(V-nb) = nRT",Match gases under specified conditions listed in Column I with their properties laws in Column II Indicate your answer by darkening appropriate bubbles of the x matrix given in the ORS Column I hydrogen gas P atm T K hydrogen gas P T K CO P atm T K real gas with very large molar volume Column II p compressibility factor q attractive forces are dominant r PV nRT s P V nb nRT,chemistry
2007_1_Q45,"Let α, β be the roots of the equation x² - px + r = 0 and α/2, 2β be the roots of the equation x² - qx + r = 0. Then the value of r is (A) (2/9)(p-q)(2q-p) (B) (2/9)(q-p)(2p-q) (C) (2/9)(q-2p)(2q-p) (D) (2/9)(2p-q)(2q-p)",Let be the roots of the equation x px r and be the roots of the equation x qx r Then the value of r is p q 2q p q p 2p q q 2p 2q p 2p q 2q p,mathematics
2007_1_Q46,"Let f(x) be differentiable on the interval (0,∞) such that f(1) = 1, and lim (t²f(x)-x²f(t))/(t-x) = 1 for each x > 0. Then f(x) is (A) 1/(3x) + 2x²/3 (B) -1/x + 4x²/3 (C) -1/x² + 2/x (D) 1/x",Let f x be differentiable on the interval such that f and lim t f x x f t t x for each x Then f x is 3x 2x x 4x x x x,mathematics
2007_1_Q47,One Indian and four American men and their wives are to be seated randomly around a circular table. Then the conditional probability that the Indian man is seated adjacent to his wife given that each American man is seated adjacent to his wife is (A) 1/2 (B) 1/3 (C) 2/5 (D) 1/5,One Indian and four American men and their wives are to be seated randomly around a circular table Then the conditional probability that the Indian man is seated adjacent to his wife given that each American man is seated adjacent to his wife is,chemistry
2007_1_Q48,"The tangent to the curve y = eˣ drawn at the point (c, eᶜ) intersects the line joining the points (c-1, e⁻¹) and (c+1, eᶜ⁺¹) (A) on the left of x = c (B) on the right of x = c (C) at no point (D) at all points",The tangent to the curve y e drawn at the point c e intersects the line joining the points c e and c e on the left of x c on the right of x c at no point at all points,mathematics
2007_1_Q49,lim_{x→π/4} (sec²x ∫₂ˣ f(t) dt) / (4x² - π²/16) equals (A) (8/π)f(2) (B) 2f(2) (C) (2/π)f(2) (D) 4f(2),lim_ x sec x f t dt 4x equals f 2f f 4f,mathematics
2007_1_Q50,"A hyperbola, having the transverse axis of length 2 sin θ, is confocal with the ellipse 3x² + 4y² = 12. Then its equation is (A) x² cosec² θ - y² sec² θ = 1 (B) x² sec² θ - y² cosec² θ = 1 (C) x² sin² θ - y² cos² θ = 1 (D) x² cos² θ - y² sin² θ = 1",A hyperbola having the transverse axis of length sin is confocal with the ellipse 3x 4y Then its equation is x cosec y sec x sec y cosec x sin y cos x cos y sin,mathematics
2007_1_Q51,"The number of distinct real values of λ, for which the vectors - λ²i + j + k, i - λ²j + k and i + j - λ²k are coplanar, is (A) zero (B) one (C) two (D) three",The number of distinct real values of for which the vectors i j k i j k and i j k are coplanar is zero one two three,mathematics
