Question_ID,Question_Text
2007_1_Q11,"STATEMENT-1 In an elastic collision between two bodies, the relative speed of the bodies after collision is equal to the relative speed before the collision. because STATEMENT-2 In an elastic collision, the linear momentum of the system is conserved. (A) Statement-1 is True, Statement-2 is True; Statement-2 is a correct explanation for Statement-1 (B) Statement-1 is True, Statement-2 is True; Statement-2 is NOT a correct explanation for Statement-1 (C) Statement-1 is True, Statement-2 is False (D) Statement-1 is False, Statement-2 is True"
2007_1_Q12,"STATEMENT-1 The formula connecting u, v and f for a spherical mirror is valid only for mirrors whose sizes are very small compared to their radii of curvature. because STATEMENT-2 Laws of reflection are strictly valid for plane surfaces, but not for large spherical surfaces. (A) Statement-1 is True, Statement-2 is True; Statement-2 is a correct explanation for Statement-1 (B) Statement-1 is True, Statement-2 is True; Statement-2 is NOT a correct explanation for Statement-1 (C) Statement-1 is True, Statement-2 is False (D) Statement-1 is False, Statement-2 is True"
2007_1_Q13,"STATEMENT-1 If the accelerating potential in an X-ray tube is increased, the wavelengths of the characteristic X-rays do not change. because STATEMENT-2 When an electron beam strikes the target in an X-ray tube, part of the kinetic energy is converted into X-ray energy. (A) Statement-1 is True, Statement-2 is True; Statement-2 is a correct explanation for Statement-1 (B) Statement-1 is True, Statement-2 is True; Statement-2 is NOT a correct explanation for Statement-1 (C) Statement-1 is True, Statement-2 is False (D) Statement-1 is False, Statement-2 is True"
2007_1_Q14,The ratio x₁/x₂ is (A) 2 (B) 1/2 (C) √2 (D) 1/√2
2007_1_Q15,"When disc B is brought in contact with disc A, they acquire a common angular velocity in time t. The average frictional torque on one disc by the other during this period is (A) 2Iω/3t (B) 9Iω/2t (C) 9Iω/4t (D) 3Iω/2t"
2007_1_Q16,The loss of kinetic energy during the above process is (A) Iω²/2 (B) Iω²/3 (C) Iω²/4 (D) Iω²/6
2007_1_Q17,The piston is now pulled out slowly and held at a distance 2L from the top. The pressure in the cylinder between its top and the piston will then be (A) P₀ (B) P₀/2 (C) P₀ + Mg/(πR²) (D) P₀/2 - Mg/(πR²)
2007_1_Q18,"While the piston is at a distance 2L from the top, the hole at the top is sealed. The piston is then released, to a position where it can stay in equilibrium. In this condition, the distance of the piston from the top is (A) (2P₀πR²)/(πR²P₀ + Mg) (2L) (B) (P₀πR² - Mg)/(πR²P₀) (2L) (C) (P₀πR² + Mg)/(πR²P₀) (2L) (D) (P₀πR²)/(πP₀ - Mg) (2L)"
2007_1_Q19,"The piston is taken completely out of the cylinder. The hole at the top is sealed. A water tank is brought below the cylinder and put in a position so that the water surface in the tank is at the same level as the top of the cylinder as shown in the figure. The density of the water is ρ. In equilibrium, the height H of the water column in the cylinder satisfies (A) ρg(L₀-H)² + P₀(L₀-H) + L₀P₀ = 0 (B) ρg(L₀-H)² - P₀(L₀-H) - L₀P₀ = 0 (C) ρg(L₀-H)² + P₀(L₀-H) - L₀P₀ = 0 (D) ρg(L₀-H)² - P₀(L₀-H) + L₀P₀ = 0"
2007_1_Q20,"Some physical quantities are given in Column I and some possible SI units in which these quantities may be expressed are given in Column II. Match the physical quantities in Column I with the units in Column II and indicate your answer by darkening appropriate bubbles in the 4 x 4 matrix given in the ORS. Column I (A) GMsMe (G - universal gravitational constant, Me - mass of the earth, Ms - mass of the Sun) (B) 3RT/M (R - universal gas constant, T - absolute temperature, M - molar mass) (C) F²/(q²B²) (F - force, q - charge, B - magnetic field) (D) GMe/Re (G - universal gravitational constant, Me - mass of the earth, Re - radius of the earth) Column II (p) (volt) (coulomb) (metre) (q) (kilogram) (metre)³ (second)⁻² (r) (metre)² (second)⁻² (s) (farad) (volt)² (kg)⁻¹"
2007_1_Q21,Column I gives certain situations in which a straight metallic wire of resistance R is used and Column II gives some resulting effects. Match the statements in Column I with the statements in Column II and indicate your answer by darkening appropriate bubbles in the 4 x 4 matrix given in the ORS. Column I (A) A charged capacitor is connected to the ends of the wire (B) The wire is moved perpendicular to its length with a constant velocity in a uniform magnetic field perpendicular to the plane of motion (C) The wire is placed in a constant electric field that has a direction along the length of the wire (D) A battery of constant emf is connected to the ends of the wire Column II (p) A constant current flows through the wire (q) Thermal energy is generated in the wire (r) A constant potential difference develops between the ends of the wire (s) Charges of constant magnitude appear at the ends of the wire
2007_1_Q22,Some laws / processes are given in Column I. Match these with the physical phenomena given in Column II and indicate your answer by darkening appropriate bubbles in the 4x4 matrix given in the ORS. Column I (A) Transition between two atomic energy levels (B) Electron emission from a material (C) Mosley's law (D) Change of photon energy into kinetic energy of electrons Column II (p) Characteristic X-rays (q) Photoelectric effect (r) Hydrogen spectrum (s) β-decay
2007_1_Q23,The species having bond order different from that in CO is (A) NO⁻ (C) CN⁻ (B) NO⁺ (D) N₂
2007_1_Q24,"Among the following, the paramagnetic compound is (A) Na₂O₂ (C) N₂O (B) O₃ (D) KO₂"
2007_1_Q25,Extraction of zinc from zinc blende is achieved by (A) electrolytic reduction (B) roasting followed by reduction with carbon (C) roasting followed by reduction with another metal (D) roasting followed by self-reduction
2007_1_Q26,"In the following reaction, [Initial molecule: N-phenylbenzamide. Reagents: conc. HNO₃, conc. H₂SO₄. Product: X] the structure of the major product 'X' is (A) N-(3-nitrophenyl)benzamide (B) N-(4-nitrophenyl)benzamide (C) 4-nitro-N-phenylbenzamide (D) 3-nitro-N-phenylbenzamide"
2007_1_Q27,"The reagent(s) for the following conversion, [Input: 1,2-dibromopropane; Output: Propyne (CH≡C-CH₃)] is/are (A) alcoholic KOH (B) alcoholic KOH followed by NaNH₂ (C) aqueous KOH followed by NaNH₂ (D) Zn/CH₃OH"
2007_1_Q28,The number of structural isomers for C₆H₁₄ is (A) 3 (B) 4 (C) 5 (D) 6
2007_1_Q29,The percentage of p-character in the orbitals forming P-P bonds in P₄ is (A) 25 (B) 33 (C) 50 (D) 75
2007_1_Q30,"When 20 g of naphthoic acid (C₁₁H₈O₂) is dissolved in 50 g of benzene (K_f = 1.72 K kg mol⁻¹), a freezing point depression of 2 K is observed. The van't Hoff factor (i) is (A) 0.5 (B) 1 (C) 2 (D) 3"
2007_1_Q31,"The value of log₁₀K for a reaction A ⇌ B is (Given: ΔᵣH₂₉₈K = -54.07 kJ mol⁻¹, ΔᵣS₂₉₈K = 10 J K⁻¹ mol⁻¹ and R = 8.314 J K⁻¹ mol⁻¹; 2.303×8.314×298=5705) (A) 5 (B) 10 (C) 95 (D) 100"
2007_1_Q32,"STATEMENT-1: Boron always forms covalent bond. because STATEMENT-2: The small size of B³⁺ favours formation of covalent bond. (A) Statement-1 is True, Statement-2 is True; Statement-2 is a correct explanation for Statement-1 (B) Statement-1 is True, Statement-2 is True; Statement-2 is NOT a correct explanation for Statement-1 (C) Statement-1 is True, Statement-2 is False (D) Statement-1 is False, Statement-2 is True"
2007_1_Q33,"STATEMENT-1: In water, orthoboric acid behaves as a weak monobasic acid. because STATEMENT-2: In water, orthoboric acid acts as a proton donor. (A) Statement-1 is True, Statement-2 is True; Statement-2 is a correct explanation for Statement-1 (B) Statement-1 is True, Statement-2 is True; Statement-2 is NOT a correct explanation for Statement-1 (C) Statement-1 is True, Statement-2 is False (D) Statement-1 is False, Statement-2 is True"
2007_1_Q34,"STATEMENT-1: p-Hydroxybenzoic acid has a lower boiling point than o-hydroxybenzoic acid. because STATEMENT-2: o-Hydroxybenzoic acid has intramolecular hydrogen bonding. (A) Statement-1 is True, Statement-2 is True; Statement-2 is a correct explanation for Statement-1 (B) Statement-1 is True, Statement-2 is True; Statement-2 is NOT a correct explanation for Statement-1 (C) Statement-1 is True, Statement-2 is False (D) Statement-1 is False, Statement-2 is True"
2007_1_Q35,"STATEMENT-1: Micelles are formed by surfactant molecules above the critical micellar concentration (CMC). because STATEMENT-2: The conductivity of a solution having surfactant molecules decreases sharply at the CMC. (A) Statement-1 is True, Statement-2 is True; Statement-2 is a correct explanation for Statement-1 (B) Statement-1 is True, Statement-2 is True; Statement-2 is NOT a correct explanation for Statement-1 (C) Statement-1 is True, Statement-2 is False (D) Statement-1 is False, Statement-2 is True"
2007_1_Q36,Argon is used in arc welding because of its (A) low reactivity with metal (B) ability to lower the melting point of metal (C) flammability (D) high calorific value
2007_1_Q37,The structure of XeO₃ is (A) linear (B) planar (C) pyramidal (D) T-shaped
2007_1_Q38,XeF₄ and XeF₆ are expected to be (A) oxidizing (B) reducing (C) unreactive (D) strongly basic
2007_1_Q39,"Chemical reactions involve interaction of atoms and molecules. A large number of atoms/molecules (approximately 6.023 × 10²³) are present in a few grams of any chemical compound varying with their atomic/molecular masses. To handle such large numbers conveniently, the mole concept was introduced. This concept has implications in diverse areas such as analytical chemistry, biochemistry, electrochemistry and radiochemistry. The following example illustrates a typical case, involving chemical/electrochemical reaction, which requires a clear understanding of the mole concept. A 4.0 molar aqueous solution of NaCl is prepared and 500 mL of this solution is electrolysed. This leads to the evolution of chlorine gas at one of the electrodes (atomic mass: Na = 23, Hg = 200; 1 Faraday = 96500 coulombs). The total number of moles of chlorine gas evolved is (A) 0.5 (B) 1.0 (C) 2.0 (D) 3.0"
2007_1_Q40,"Chemical reactions involve interaction of atoms and molecules. A large number of atoms/molecules (approximately 6.023 × 10²³) are present in a few grams of any chemical compound varying with their atomic/molecular masses. To handle such large numbers conveniently, the mole concept was introduced. This concept has implications in diverse areas such as analytical chemistry, biochemistry, electrochemistry and radiochemistry. The following example illustrates a typical case, involving chemical/electrochemical reaction, which requires a clear understanding of the mole concept. A 4.0 molar aqueous solution of NaCl is prepared and 500 mL of this solution is electrolysed. This leads to the evolution of chlorine gas at one of the electrodes (atomic mass: Na = 23, Hg = 200; 1 Faraday = 96500 coulombs). If the cathode is a Hg electrode, the maximum weight (g) of amalgam formed from this solution is (A) 200 (B) 225 (C) 400 (D) 446"
2007_1_Q41,"Chemical reactions involve interaction of atoms and molecules. A large number of atoms/molecules (approximately 6.023 × 10²³) are present in a few grams of any chemical compound varying with their atomic/molecular masses. To handle such large numbers conveniently, the mole concept was introduced. This concept has implications in diverse areas such as analytical chemistry, biochemistry, electrochemistry and radiochemistry. The following example illustrates a typical case, involving chemical/electrochemical reaction, which requires a clear understanding of the mole concept. A 4.0 molar aqueous solution of NaCl is prepared and 500 mL of this solution is electrolysed. This leads to the evolution of chlorine gas at one of the electrodes (atomic mass: Na = 23, Hg = 200; 1 Faraday = 96500 coulombs). The total charge (coulombs) required for complete electrolysis is (A) 24125 (B) 48250 (C) 96500 (D) 193000"
2007_1_Q42,Match the complexes in Column I with their properties listed in Column II. Indicate your answer by darkening the appropriate bubbles of the 4 x 4 matrix given in the ORS. Column I (A) [Co(NH₃)₄(H₂O)₂]Cl₂ (B) [Pt(NH₃)₂Cl₂] (C) [Co(H₂O)₅Cl]Cl (D) [Ni(H₂O)₆]Cl₂ Column II (p) geometrical isomers (q) paramagnetic (r) diamagnetic (s) metal ion with +2 oxidation state
2007_1_Q43,"Match the chemical substances in Column I with type of polymers/type of bonds in Column II. Indicate your answer by darkening the appropriate bubbles of the 4 x 4 matrix given in the ORS. Column I (A) cellulose (B) nylon-6, 6 (C) protein (D) sucrose Column II (p) natural polymer (q) synthetic polymer (r) amide linkage (s) glycoside linkage"
2007_1_Q44,"Match gases under specified conditions listed in Column I with their properties/laws in Column II. Indicate your answer by darkening appropriate bubbles of the 4 x 4 matrix given in the ORS. Column I (A) hydrogen gas (P = 200 atm, T = 273 K) (B) hydrogen gas (P ~ 0, T = 273 K) (C) CO₂ (P = 1 atm, T = 273 K) (D) real gas with very large molar volume Column II (p) compressibility factor ≠ 1 (q) attractive forces are dominant (r) PV=nRT (s) P(V-nb) = nRT"
2007_1_Q45,"Let α, β be the roots of the equation x² - px + r = 0 and α/2, 2β be the roots of the equation x² - qx + r = 0. Then the value of r is (A) (2/9)(p-q)(2q-p) (B) (2/9)(q-p)(2p-q) (C) (2/9)(q-2p)(2q-p) (D) (2/9)(2p-q)(2q-p)"
2007_1_Q46,"Let f(x) be differentiable on the interval (0,∞) such that f(1) = 1, and lim (t²f(x)-x²f(t))/(t-x) = 1 for each x > 0. Then f(x) is (A) 1/(3x) + 2x²/3 (B) -1/x + 4x²/3 (C) -1/x² + 2/x (D) 1/x"
2007_1_Q47,One Indian and four American men and their wives are to be seated randomly around a circular table. Then the conditional probability that the Indian man is seated adjacent to his wife given that each American man is seated adjacent to his wife is (A) 1/2 (B) 1/3 (C) 2/5 (D) 1/5
2007_1_Q48,"The tangent to the curve y = eˣ drawn at the point (c, eᶜ) intersects the line joining the points (c-1, e⁻¹) and (c+1, eᶜ⁺¹) (A) on the left of x = c (B) on the right of x = c (C) at no point (D) at all points"
2007_1_Q49,lim_{x→π/4} (sec²x ∫₂ˣ f(t) dt) / (4x² - π²/16) equals (A) (8/π)f(2) (B) 2f(2) (C) (2/π)f(2) (D) 4f(2)
2007_1_Q50,"A hyperbola, having the transverse axis of length 2 sin θ, is confocal with the ellipse 3x² + 4y² = 12. Then its equation is (A) x² cosec² θ - y² sec² θ = 1 (B) x² sec² θ - y² cosec² θ = 1 (C) x² sin² θ - y² cos² θ = 1 (D) x² cos² θ - y² sin² θ = 1"
2007_1_Q51,"The number of distinct real values of λ, for which the vectors - λ²i + j + k, i - λ²j + k and i + j - λ²k are coplanar, is (A) zero (B) one (C) two (D) three"
2007_1_Q52,"A man walks a distance of 3 units from the origin towards the north-east (N 45° E) direction. From there, he walks a distance of 4 units towards the north-west (N 45°W) direction to reach a point P. Then the position of P in the Argand plane is (A) 3e^(iπ/4) + 4i (B) (3-4i)e^(iπ/4) (C) (4+3i)e^(iπ/4) (D) (3+4i)e^(iπ/4)"
2007_1_Q53,"The number of solutions of the pair of equations 2 sin² θ - cos 2θ = 0, 2 cos² θ - 3 sin θ = 0 in the interval [0,2π] is (A) zero (B) one (C) two (D) four"
2007_1_Q54,"Let H₁, H₂, ..., H_n be mutually exclusive and exhaustive events with P(H_i) > 0, i = 1, 2,...,n. Let E be any other event with 0 < P(E) < 1. STATEMENT-1: P(H_i | E) > P(E | H_i) P(H_i) for i = 1, 2, ..., n. because STATEMENT-2: Σ(from i=1 to n) P(H_i) = 1. (A) Statement-1 is True, Statement-2 is True; Statement-2 is a correct explanation for Statement-1 (B) Statement-1 is True, Statement-2 is True; Statement-2 is NOT a correct explanation for Statement-1 (C) Statement-1 is True, Statement-2 is False (D) Statement-1 is False, Statement-2 is True"
2007_1_Q55,"Tangents are drawn from the point (17, 7) to the circle x² + y² = 169. STATEMENT-1: The tangents are mutually perpendicular. because STATEMENT-2: The locus of the points from which mutually perpendicular tangents can be drawn to the given circle is x² + y² = 338. (A) Statement-1 is True, Statement-2 is True; Statement-2 is a correct explanation for Statement-1 (B) Statement-1 is True, Statement-2 is True; Statement-2 is NOT a correct explanation for Statement-1 (C) Statement-1 is True, Statement-2 is False (D) Statement-1 is False, Statement-2 is True"
2007_1_Q56,"Let the vectors PQ→, QR→, RS→, ST→, TU→ and UP→ represent the sides of a regular hexagon. STATEMENT-1: PQ→ x (RS→ + ST→) ≠ 0. because STATEMENT-2: PQ→ x RS→ = 0 and PQ→ x ST→ ≠ 0. (A) Statement-1 is True, Statement-2 is True; Statement-2 is a correct explanation for Statement-1 (B) Statement-1 is True, Statement-2 is True; Statement-2 is NOT a correct explanation for Statement-1 (C) Statement-1 is True, Statement-2 is False (D) Statement-1 is False, Statement-2 is True"
2007_1_Q57,"Let F(x) be an indefinite integral of sin²x. STATEMENT-1: The function F(x) satisfies F(x + π) = F(x) for all real x. because STATEMENT-2 : sin²(x + π) = sin² x for all real x. (A) Statement-1 is True, Statement-2 is True; Statement-2 is a correct explanation for Statement-1 (B) Statement-1 is True, Statement-2 is True; Statement-2 is NOT a correct explanation for Statement-1 (C) Statement-1 is True, Statement-2 is False (D) Statement-1 is False, Statement-2 is True"
2007_1_Q58,"M58-60: Paragraph for Question Nos. 58 to 60 Let V_r denote the sum of the first r terms of an arithmetic progression (A.P.) whose first term is r and the common difference is (2r-1). Let T_r = V_{r+1} - V_r - 2 and Q_r = T_{r+1} - T_r for r = 1, 2,... The sum V₁ + V₂ + ... + V_n is (A) (1/12)n(n+1)(3n²-n+1) (B) (1/12)n(n+1)(3n²+n+2) (C) (1/2)n(2n²-n+1) (D) (1/3)(2n³-2n+3)"
2007_1_Q59,T_r is always (A) an odd number (C) a prime number (B) an even number (D) a composite number
2007_1_Q60,"Which one of the following is a correct statement? (A) Q₁, Q₂, Q₃,... are in A.P. with common difference 5 (B) Q₁, Q₂, Q₃,... are in A.P. with common difference 6 (C) Q₁, Q₂, Q₃,... are in A.P. with common difference 11 (D) Q₁ = Q₂ = Q₃ =..."
2007_1_Q61,"M61-63: Paragraph for Question Nos. 61 to 63 Consider the circle x² + y² = 9 and the parabola y² = 8x. They intersect at P and Q in the first and the fourth quadrants, respectively. Tangents to the circle at P and Q intersect the x-axis at R and tangents to the parabola at P and Q intersect the x-axis at S. The ratio of the areas of the triangles PQS and PQR is (A) 1:√2 (B) 1:2 (C) 1:4 (D) 1:8"
2007_1_Q62,The radius of the circumcircle of the triangle PRS is (A) 5 (B) 3√3 (C) 3√2 (D) 2√3
2007_1_Q63,The radius of the incircle of the triangle PQR is (A) 4 (B) 3 (C) 8/3 (D) 2
2007_1_Q64,Consider the following linear equations ax + by + cz = 0 bx + cy + az = 0 cx + ay + bz = 0 Match the conditions/expressions in Column I with statements in Column II and indicate your answer by darkening appropriate bubbles in the 4 x 4 matrix given in the ORS. Column I (A) a+b+c ≠ 0 and a² + b²+c² = ab + bc + ca (B) a+b+c = 0 and a² + b²+c² ≠ ab + bc + ca (C) a+b+c ≠ 0 and a² + b²+c² ≠ ab + bc + ca (D) a+b+c = 0 and a² + b²+c² = ab + bc + ca Column II (p) the equations represent planes meeting only at a single point. (q) the equations represent the line x = y = z. (r) the equations represent identical planes. (s) the equations represent the whole of the three dimensional space.
2007_1_Q65,"In the following [x] denotes the greatest integer less than or equal to x. Match the functions in Column I with the properties in Column II and indicate your answer by darkening the appropriate bubbles in the 4 x 4 matrix given in the ORS. Column I (A) x|x| (B) √|x| (C) x+[x] (D) |x-1|+|x+1| Column II (p) continuous in (-1, 1) (q) differentiable in (-1, 1) (r) strictly increasing in (-1, 1) (s) not differentiable at least at one point in (-1, 1)"
2007_1_Q66,Match the integrals in Column I with the values in Column II and indicate your answer by darkening the appropriate bubbles in the 4 x 4 matrix given in the ORS. Column I (A) ∫(from -1 to 1) dx/(1+x²) (B) ∫(from 0 to 1) dx/√(1-x²) (C) ∫(from 0 to 1) dx/(1-x²) (D) ∫(from 1 to 2) dx/(x√(x²-1)) Column II (p) (1/2)log(2/3) (q) 2log(2/3) (r) π/3 (s) π/2
2007_2_Q01,"1. In the experiment to determine the speed of sound using a resonance column,
(A) prongs of the tuning fork are kept in a vertical plane
(B) prongs of the tuning fork are kept in a horizontal plane
(C) in one of the two resonances observed, the length of the resonating air column is
close to the wavelength of sound in air
(D) in one of the two resonances observed, the length of the resonating air column is
close to half of the wavelength of sound in air"
2007_2_Q02,"2. A student performs an experiment to determine the Young's modulus of a wire,
exactly 2 m long, by Searle's method. In a particular reading, the student measures
the extension in the length of the wire to be 0.8 mm with an uncertainty of
±0.05 mm at a load of exactly 1.0 kg. The student also measures the diameter of the
wire to be 0.4 mm with an uncertainty of ±0.01 mm. Take g = 9.8 m/s² (exact). The
Young's modulus obtained from the reading is
(A) (2.0±0.3) × 10¹¹ N/m²
(C) (2.0±0.1) × 10¹¹ N/m²
(B) (2.0±0.2) × 10¹¹ N/m²
(D) (2.0±0.05) × 10¹¹ N/m²"
2007_2_Q03,"3. A particle moves in the X-Y plane under the influence of a force such that its linear
momentum is p(t) = A[i cos(kt) -j sin (kt)], where A and k are constants.
The angle between the force and the momentum is
(A) 0°
(B) 30°
(C) 45°
(D) 90°"
2007_2_Q04,"4. A small object of uniform density rolls up a curved surface with an initial
3v2
velocity v. It reaches up to a maximum height of
with respect to the initial
4g
position. The object is
(A) ring
(B) solid sphere (C) hollow sphere (D) disc"
2007_2_Q05,"5. Water is filled up to a height h in a beaker of radius R as
shown in the figure. The density of water is p, the surface
tension of water is T and the atmospheric pressure is Po.
Consider a vertical section ABCD of the water column
through a diameter of the beaker. The force on water on one
side of this section by water on the other side of this section
has magnitude
(A) 2P Rh+πR² pgh-2RT|
(B) 2P Rh+Rpgh²-2RT|
(C) ΡοπR2+Rpgh²-2RT|
(D) ΡοπR2 + Rpgh² +2RT|"
2007_2_Q06,"6. A spherical portion has been removed from a solid sphere having a charge distributed
uniformly in its volume as shown in the figure. The electric field inside the emptied
space is
(A) zero everywhere
(B) non-zero and uniform
(C) non-uniform
(D) zero only at its center"
2007_2_Q07,"7. Positive and negative point charges of equal magnitude are kept at (0, 0, )
(0,0,%), respectively. The work done by the electric field when another positive
point charge is moved from (-a, 0, 0) to (0, a, 0) is
(A) positive
(B) negative
(C) zero
(D) depends on the path connecting the initial and final positions"
2007_2_Q08,"8. A magnetic field B = Boj exists in the region
a<x<2a and B=-Boj, in the region
2a<x<3a, where Bo is a positive constant.
A positive point charge moving with a velocity
v=voi, where vo is a positive constant,
enters the magnetic field at x=a. The
trajectory of the charge in this region can be
like,
(A) z
(B)
(C)
(D)"
2007_2_Q09,"9. Electrons with de-Broglie wavelength λ fall on the target in an X-ray tube. The
cut-off wavelength of the emitted X-rays is
(A) λο = 2mc λ2
h
(B) λο= 2h
mc
(C) λο = 2m² c² λ³
h2
(D) λο = λ"
2007_2_Q10,"10. STATEMENT-1
If there is no external torque on a body about its center of mass, then the velocity of
the center of mass remains constant.
because
STATEMENT-2
The linear momentum of an isolated system remains constant.
(A) Statement-1 is True, Statement-2 is True; Statement-2 is a correct explanation
for Statement-1
(B) Statement-1 is True, Statement-2 is True; Statement-2 is NOT a correct
explanation for Statement-1
(C) Statement-1 is True, Statement-2 is False
(D) Statement-1 is False, Statement-2 is True"
2007_2_Q11,"11. STATEMENT-1
A cloth covers a table. Some dishes are kept on it. The cloth can be pulled out without
dislodging the dishes from the table.
because
STATEMENT-2
For every action there is an equal and opposite reaction.
(A) Statement-1 is True, Statement-2 is True; Statement-2 is a correct explanation
for Statement-1
(B) Statement-1 is True, Statement-2 is True; Statement-2 is NOT a correct
explanation for Statement-1
(C) Statement-1 is True, Statement-2 is False
(D) Statement-1 is False, Statement-2 is True"
2007_2_Q12,"12. STATEMENT-1
A vertical iron rod has a coil of wire wound over it at the
bottom end. An alternating current flows in the coil. The rod
goes through a conducting ring as shown in the figure. The
ring can float at a certain height above the coil.
because
STATEMENT-2
In the above situation, a current is induced in the ring which
interacts with the horizontal component of the magnetic field
to produce an average force in the upward direction.
(A) Statement-1 is True, Statement-2 is True; Statement-2 is a correct explanation
for Statement-1
(B) Statement-1 is True, Statement-2 is True; Statement-2 is NOT a correct
explanation for Statement-1
(C) Statement-1 is True, Statement-2 is False
(D) Statement-1 is False, Statement-2 is True"
2007_2_Q13,"13. STATEMENT-1
The total translational kinetic energy of all the molecules of a given mass of an ideal
gas is 1.5 times the product of its pressure and its volume.
because
STATEMENT-2
The molecules of a gas collide with each other and the velocities of the molecules
change due to the collision.
(A) Statement-1 is True, Statement-2 is True; Statement-2 is a correct explanation
for Statement-1
(B) Statement-1 is True, Statement-2 is True; Statement-2 is NOT a correct
explanation for Statement-1
(C) Statement-1 is True, Statement-2 is False
(D) Statement-1 is False, Statement-2 is True"
2007_2_Q14,"14. The speed of sound of the whistle is
(A) 340 m/s for passengers in A and 310 m/s for passengers in B
(B) 360 m/s for passengers in A and 310 m/s for passengers in B
(C) 310 m/s for passengers in A and 360 m/s for passengers in B
(D) 340 m/s for passengers in both the trains"
2007_2_Q15,"15. The distribution of the sound intensity of the whistle as observed by the passengers
in train A is best represented by
(A)
(B)
(C)
(D)"
2007_2_Q16,"16. The spread of frequency as observed by the passengers in train B is
(A) 310 Hz
(B) 330 Hz
(C) 350 Hz
(D) 290 Hz"
2007_2_Q17,"17. Light travels as a
(A) parallel beam in each medium
(B) convergent beam in each medium
(C) divergent beam in each medium
(D) divergent beam in one medium and convergent beam in the other medium"
